317,Jaintia Hills,Meghalaya,N.A.
318,Aizwal,Mizoram,1750.9
319,Kohima,Nagaland,1875.7
320,Mon,Nagaland,N.A.
321,Phek,Nagaland,1344.2
322,Tuensang,Nagaland,702.1
323,Angul,Orissa,1547.8
324,Balasore,Orissa,1795.4
325,Bolangir,Orissa,1790
326,Cuttack,Orissa,1889.7
327,Deogarh,Orissa,1286.7
328,Dhenkanal,Orissa,1347.4
329,Gajapati,Orissa,1280.8
330,Ganjam,Orissa,1174.7
331,Jagatsinghpur,Orissa,2004.3
332,Jajpur,Orissa,1688.6
333,Jharsuguda,Orissa,1772
334,Kalahandi,Orissa,1816.7
335,Kandhamal,Orissa,1778.1
336,Kendrapara,Orissa,1630.9
337,Keonjhargarh,Orissa,1761
338,Khurda,Orissa,1557.2
339,Koraput,Orissa,1790.5
340,Malkangiri,Orissa,1124
341,Mayurbhanj,Orissa,1798
342,Nawapara,Orissa,1180.9
343,Nawarangpur,Orissa,2062
344,Nayagarh,Orissa,1805.2
345,Puri,Orissa,1498.6
346,Rayagada,Orissa,1291
347,Sambalpur,Orissa,1620.6
348,Sonepur,Orissa,1565.3
349,Sundargarh,Orissa,1572.7
350,Pondicherry,Pondicherry,1659.7
351,Amritsar,Punjab,869.3
352,Bhatinda,Punjab,527
353,Faridkot,Punjab,359.4
354,Fatehgarh Sahib,Punjab,206.1
355,Ferozpur,Punjab,119.3
356,Gurdaspur,Punjab,1220.4
357,Hoshiarpur,Punjab,993.1
358,Jalandhar,Punjab,724.7
359,Kapurthala,Punjab,N.A.
360,Ludhiana,Punjab,840.9
361,Moga,Punjab,419.8
362,Muktsar,Punjab,382.6
363,Nawanshahar,Punjab,1035
364,Patiala,Punjab,1320.4
365,Ropar,Punjab,1052.1
366,Sangrur,Punjab,418.5
367,Ajmer,Rajasthan,492.3
368,Alwar,Rajasthan,880.9
369,Banswara,Rajasthan,488.6
370,Baran,Rajasthan,823.2
371,Barmer,Rajasthan,280.2
372,Bharatpur,Rajasthan,784.4
373,Bhilwara,Rajasthan,505.3
374,Bikaner,Rajasthan,338.2
375,Bundi,Rajasthan,564.8
376,Chittorgarh,Rajasthan,813.8
377,Churu,Rajasthan,444.5
378,Dausa,Rajasthan,812.8
379,Dholpur,Rajasthan,868.8
380,Dungarpur,Rajasthan,424.4
381,Hanumangarh,Rajasthan,310
382,Jaipur,Rajasthan,553.6
383,Jaisalmer,Rajasthan,247.2
384,Jalore,Rajasthan,348.1
385,Jhalawar,Rajasthan,618.7
386,Jhunjhunu,Rajasthan,484.3
387,Jodhpur,Rajasthan,273.7
388,Karauli,Rajasthan,944.8
389,Kota,Rajasthan,662.5
390,Nagaur,Rajasthan,383.2
391,Pali,Rajasthan,280.6
392,Rajsamand,Rajasthan,314.4
393,Sawaimadhopur,Rajasthan,744.2
394,Sikar,Rajasthan,535.8
395,Sirohi,Rajasthan,468.1
396,Sri Ganganagar,Rajasthan,264
397,Tonk,Rajasthan,547.2
398,Udaipur,Rajasthan,594.5
399,Sikkim,Sikkim,2799.5
400,Chennai,Tamil Nadu,1391.9
401,Coimbatore,Tamil Nadu,1234.4
402,Cuddalore,Tamil Nadu,1848.8
403,Dharmapuri,Tamil Nadu,901.4
404,Dindigul,Tamil Nadu,1111.5
405,Erode,Tamil Nadu,792.1
406,Kanchipuram,Tamil Nadu,1396.7
407,Kanyakumari,Tamil Nadu,1541.3
408,Karur,Tamil Nadu,845.3
409,Krishnagiri,Tamil Nadu,1010.5
410,Madurai,Tamil Nadu,1011
411,Nagapatinam,Tamil Nadu,1857
412,Namakkal,Tamil Nadu,957.3
413,Nilgiri,Tamil Nadu,2233.1
414,Perambulur,Tamil Nadu,1042.7
415,Pudukottai,Tamil Nadu,1090.6
416,Ramanathapuram,Tamil Nadu,1492.7
417,Salem,Tamil Nadu,1139.5
418,Sivaganga,Tamil Nadu,1176.8
419,Thanjavur,Tamil Nadu,1451.5
420,Theni,Tamil Nadu,1043
421,Tirunelveli,Tamil Nadu,1290.9
422,TIRUVALLUR,Tamil Nadu,1418.7
423,Tiruvannamalai,Tamil Nadu,1155.4
424,Tiruvarur,Tamil Nadu,1610.5
425,Trichy,Tamil Nadu,1069.7
426,Tuticorin,Tamil Nadu,1076.9
427,Vellore,Tamil Nadu,863.5
428,Villupuram,Tamil Nadu,1433
429,Virudunagar,Tamil Nadu,1070.4
430,North Tripura,Tripura,1904.7
431,South Tripura,Tripura,2080
432,West Tripura,Tripura,1597.9
433,Almora,Uttarakhand,N.A.
434,Chamoli,Uttarakhand,N.A.
435,Champawat,Uttarakhand,N.A.
436,Dehradun,Uttarakhand,2383
437,Garhwal Pauri,Uttarakhand,N.A.
438,Garhwal Tehri,Uttarakhand,1012.8
439,Hardwar,Uttarakhand,N.A.
440,Nainital,Uttarakhand,1802.2
441,Pithoragarh,Uttarakhand,N.A.
442,Rudraprayag,Uttarakhand,N.A.
443,Udham Singh Nagar,Uttarakhand,N.A.
444,Uttarkashi,Uttarakhand,N.A.
445,Agra,Uttar Pradesh,545.1
446,Aligarh,Uttar Pradesh,N.A.
447,Allahabad,Uttar Pradesh,1237.1
448,Ambedkar Nagar,Uttar Pradesh,N.A.
449,Auraiya,Uttar Pradesh,N.A.
450,Azamgarh,Uttar Pradesh,N.A.
451,Badaun,Uttar Pradesh,N.A.
452,Baghpat,Uttar Pradesh,N.A.
453,Bahraich,Uttar Pradesh,1269.5
454,Ballia,Uttar Pradesh,N.A.
455,Balrampur,Uttar Pradesh,N.A.
456,Banda,Uttar Pradesh,N.A.
457,Barabanki,Uttar Pradesh,N.A.
458,Bareilly,Uttar Pradesh,1356.2
